Exp,Part,Stim,time,x,y,x_pro,y_pro
DemoMS,1765813165,75.jpg,1765813265.0321522,208.92454913193745,310.2676157285042,0.23213838792437494,0.3447417952538936
DemoMS,1765813165,75.jpg,1765813265.166327,197.54956017236094,325.12182393980197,0.21949951130262327,0.3612464710442244
DemoMS,1765813165,75.jpg,1765813265.2326279,204.4839096537916,256.71883074801053,0.22720434405976847,0.28524314527556727
DemoMS,1765813165,75.jpg,1765813265.365404,210.55767177606975,272.42457946971433,0.2339529686400775,0.3026939771885715
DemoMS,1765813165,75.jpg,1765813265.431896,199.00218869119624,289.35274976174196,0.22111354299021804,0.3215030552908244
DemoMS,1765813165,75.jpg,1765813265.5624828,214.20926927424085,228.37225551454742,0.23801029919360095,0.25374695057171937
DemoMS,1765813165,75.jpg,1765813265.6297338,207.62199477617622,265.8546797862124,0.23069110530686246,0.2953940886513471
DemoMS,1765813165,75.jpg,1765813265.762317,213.51242684960135,225.34070128802273,0.23723602983289038,0.2503785569866919
DemoMS,1765813165,75.jpg,1765813265.8941708,228.52403930698847,103.70806964979602,0.2539155992299872,0.11523118849977335
DemoMS,1765813165,75.jpg,1765813265.960233,235.44156206254758,97.11141728637415,0.26160173562505284,0.10790157476263794
DemoMS,1765813165,75.jpg,1765813266.092264,256.6120414989838,-34.11798994553874,0.2851244905544264,-0.03790887771726526
DemoMS,1765813165,75.jpg,1765813266.15891,271.97832061986884,-113.88144784095175,0.3021981340220765,-0.12653494204550195
DemoMS,1765813165,75.jpg,1765813266.323188,267.8461372994802,-3.3429685325945684,0.2976068192216446,-0.0037144094806606316
DemoMS,1765813165,75.jpg,1765813266.455143,271.7384940547856,-30.51130552662039,0.30193166006087285,-0.03390145058513377
DemoMS,1765813165,75.jpg,1765813266.587166,280.19712580264496,-172.17291707859204,0.3113301397807166,-0.1913032411984356
DemoMS,1765813165,75.jpg,1765813266.6534941,287.2695334157184,-306.1452318360982,0.31918837046190934,-0.3401613687067758
DemoMS,1765813165,75.jpg,1765813266.7853498,339.3423391489861,-742.3070302955675,0.37704704349887347,-0.8247855892172973
DemoMS,1765813165,75.jpg,1765813266.8516421,381.3593117213631,-1175.7870794750238,0.4237325685792923,-1.306430088305582
DemoMS,1765813165,75.jpg,1765813266.9837902,385.2422227244246,-1137.3441052432454,0.4280469141382496,-1.263715672492495
DemoMS,1765813165,75.jpg,1765813267.049742,410.0441825350709,-1209.5363959968772,0.4556046472611899,-1.343929328885419
DemoMS,1765813165,75.jpg,1765813267.181182,413.4941749836426,-1323.0724794876119,0.45943797220404736,-1.4700805327640132
DemoMS,1765813165,75.jpg,1765813267.248567,442.6184127509769,-1453.3855403681614,0.49179823638997433,-1.6148728226312905
DemoMS,1765813165,75.jpg,1765813267.3807318,485.35473454187667,-1281.5256074970412,0.5392830383798629,-1.423917341663379
DemoMS,1765813165,75.jpg,1765813267.4456801,466.6873517676881,-745.9044454878835,0.5185415019640979,-0.8287827172087595
DemoMS,1765813165,75.jpg,1765813267.577497,418.5986604734721,-504.0810224002423,0.4651096227483023,-0.5600900248891582
DemoMS,1765813165,75.jpg,1765813267.644632,377.93429926705795,-374.5624508677813,0.41992699918561993,-0.41618050096420145
DemoMS,1765813165,75.jpg,1765813267.777517,321.8806104348028,42.73677528645749,0.35764512270533644,0.04748530587384165
DemoMS,1765813165,75.jpg,1765813267.842722,308.7943053022297,138.83136709548535,0.3431047836691441,0.15425707455053927
DemoMS,1765813165,75.jpg,1765813267.9750552,311.5818100829899,88.00652856043189,0.34620201120332206,0.09778503173381321
DemoMS,1765813165,75.jpg,1765813268.040647,291.07375861182743,189.02906310654464,0.3234152873464749,0.21003229234060516
